,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts,,Count
1094,1.51954E+18,2022-04-28 04:56:21+00:00,@BBCScienceNews https://t.co/SYNTEWKn7q,60647,3219,,1
1095,1.51954E+18,2022-04-28 04:48:15+00:00,@pmarca Sounds like satire,39204,1854,,1
1096,1.51951E+18,2022-04-28 02:37:19+00:00,@DrRamblings @BillyM2k Great show!,15677,354,,1
1099,1.5195E+18,2022-04-28 01:57:27+00:00,"Listen, I can’t do miracles ok https://t.co/z7dvLMUXy8",2629157,219263,,1
1100,1.5195E+18,2022-04-28 01:53:50+00:00,Let’s make Twitter maximum fun!,2706309,202309,,1
1104,1.51947E+18,2022-04-28 00:13:47+00:00,"Twitter DMs should have end to end encryption like Signal, so no one can spy on or hack your messages",1501008,112436,,1
1109,1.51943E+18,2022-04-27 21:25:50+00:00,@dickc What are talking about? I’m just saying Twitter needs to be politically neutral.,213927,11305,,1
1110,1.51942E+18,2022-04-27 20:38:20+00:00,"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally",1587794,150754,,1
1112,1.51939E+18,2022-04-27 18:44:54+00:00,"@Erdayastronaut @RubinReport @nytimes @Forbes @SocialBlade Almost every media outlet on Earth wrote about me acquiring Twitter, causing a massive influx of new users",30248,2657,,1
1116,1.51936E+18,2022-04-27 17:11:41+00:00,Truth Social (terrible name) exists because Twitter censored free speech,504019,31472,,1
1120,1.51918E+18,2022-04-27 05:01:00+00:00,Truth Social is currently beating Twitter &amp; TikTok on the Apple Store https://t.co/RxawVUAYKH,624143,52504,,1
1124,1.51907E+18,2022-04-26 21:56:41+00:00,@esaagar Suspending the Twitter account of a major news organization for publishing a truthful story was obviously incredibly inappropriate,390995,52266,,1
1134,1.51862E+18,2022-04-25 16:12:30+00:00,"I hope that even my worst critics remain on Twitter, because that is what free speech means",3298357,382123,,1
1171,1.51772E+18,2022-04-23 04:07:18+00:00,shadow ban council reviewing tweet … https://t.co/cawjtwc7CW,637161,43812,,1
1178,1.51768E+18,2022-04-23 01:46:47+00:00,@BillyM2k @engineers_feed So many “verified” scam crypto bots!,14628,1095,,1
1179,1.51765E+18,2022-04-22 23:55:33+00:00,"@engineers_feed I will verify you. 

The current process for verification is like if Kafka had a Magic 8-Ball!",79987,4175,,1
1186,1.51724E+18,2022-04-21 20:50:20+00:00,@28delayslater 🤣💯,25115,814,,1
1188,1.51723E+18,2022-04-21 20:12:46+00:00,https://t.co/IOV4tWvyxv,454800,25110,,1
1189,1.51723E+18,2022-04-21 20:09:15+00:00,https://t.co/TMOnmKBcWQ,308837,15921,,1
1192,1.51722E+18,2022-04-21 18:56:34+00:00,And authenticate all real humans,459778,26326,,1
1194,1.51722E+18,2022-04-21 18:53:55+00:00,"If our twitter bid succeeds, we will defeat the spam bots or die trying!",889161,76964,,1
1223,1.51685E+18,2022-04-20 18:47:57+00:00,@BillyM2k @nichegamer @slashdot Does it accurately portray software engineers?,6535,428,,1
1231,1.51661E+18,2022-04-20 02:47:40+00:00,@PPathole Absolutely,31416,1267,,1
1232,1.5166E+18,2022-04-20 02:16:16+00:00,@PPathole @slashdot Yes,37789,2136,,1
1234,1.51648E+18,2022-04-19 18:25:05+00:00,A social media platform’s policies are good if the most extreme 10% on left and right are equally unhappy,503349,44070,,1
1235,1.51647E+18,2022-04-19 17:36:11+00:00,@pmarca Extremely concerning. Who is pushing this censorship/deplatforming? Very shadowy.,77173,9872,,1
1236,1.51617E+18,2022-04-18 21:35:39+00:00,@pmarca 🤣,12678,458,,1
1237,1.51617E+18,2022-04-18 21:34:37+00:00,@Erdayastronaut ♥️🚀✨,23510,908,,1
1239,1.51606E+18,2022-04-18 14:15:38+00:00,"Why, thank you, sir!  https://t.co/tealJWLSdP",168952,13798,,1
1240,1.51606E+18,2022-04-18 14:14:22+00:00,@greg16676935420 🤣🤣,85412,1951,,1
1241,1.51606E+18,2022-04-18 14:09:23+00:00,"@garyblack00 Board salary will be $0 if my bid succeeds, so that’s ~$3M/year saved right there",71018,10369,,1
1255,1.51544E+18,2022-04-16 21:20:54+00:00,"@WSBChairman In fairness to the Twitter board, this might be more of a concern about other potential bidders vs just me",32680,2491,,1
1257,1.51544E+18,2022-04-16 21:07:09+00:00,@business 😛,62515,2441,,1
1259,1.5154E+18,2022-04-16 18:57:17+00:00,"@ChrisJBakke Wow, with Jack departing, the Twitter board collectively owns almost no shares! Objectively, their economic interests are simply not aligned with shareholders.",204236,26666,,1
1268,1.51508E+18,2022-04-15 21:32:09+00:00,@yishan My most immediate takeaway from this novella of a thread is that Twitter is *way* overdue for long form tweets!,108916,6330,,1
1276,1.51472E+18,2022-04-14 21:34:15+00:00,"@cameron If the current Twitter board takes actions contrary to shareholder interests, they would be breaching their fiduciary duty. 

The liability they would thereby assume would be titanic in scale.",98358,16970,,1
1277,1.51471E+18,2022-04-14 20:53:08+00:00,@Cernovich Good question,62452,3425,,1
1278,1.5147E+18,2022-04-14 20:30:39+00:00,@somospostpc @Alwaleed_Talal @Twitter @Kingdom_KHC 🧐,39796,2048,,1
1279,1.5147E+18,2022-04-14 20:12:08+00:00,"Taking Twitter private at $54.20 should be up to shareholders, not the board",211167,33425,,1
1280,1.51469E+18,2022-04-14 19:26:37+00:00,"@PoliticalShort @Twitter Absolutely. It would be utterly indefensible not to put this offer to a shareholder vote. They own the company, not the board of directors.",126757,13231,,1
